Unnamed: 0,index,pp01,year,month,ten_days,stno
22,,66.5,1998.0,4.0,3,C0G650
24,,52.0,1998.0,5.0,1,C0G650
26,,64.0,1998.0,5.0,2,C0G650
28,,44.5,1998.0,5.0,3,C0G650
30,,385.5,1998.0,6.0,1,C0G650
32,,35.0,1998.0,6.0,2,C0G650
34,,19.5,1998.0,6.0,3,C0G650
36,,73.5,1998.0,7.0,1,C0G650
38,,0.5,1998.0,7.0,2,C0G650
40,,12.0,1998.0,7.0,3,C0G650
42,,126.5,1998.0,8.0,1,C0G650
44,,41.5,1998.0,8.0,2,C0G650
46,,36.5,1998.0,8.0,3,C0G650
48,,32.5,1998.0,9.0,1,C0G650
50,,0.0,1998.0,9.0,2,C0G650
52,,6.0,1998.0,9.0,3,C0G650
54,,2.0,1998.0,10.0,1,C0G650
56,,79.5,1998.0,10.0,2,C0G650
58,,38.0,1998.0,10.0,3,C0G650
60,,0.0,1998.0,11.0,1,C0G650
62,,0.0,1998.0,11.0,2,C0G650
64,,1.0,1998.0,11.0,3,C0G650
66,,0.0,1998.0,12.0,1,C0G650
68,,19.5,1998.0,12.0,2,C0G650
70,,22.5,1998.0,12.0,3,C0G650
0,,0.0,1999.0,1.0,1,C0G650
2,,2.0,1999.0,1.0,2,C0G650
4,,9.5,1999.0,1.0,3,C0G650
6,,1.0,1999.0,2.0,1,C0G650
8,,0.5,1999.0,2.0,2,C0G650
10,,0.0,1999.0,2.0,3,C0G650
12,,0.0,1999.0,3.0,1,C0G650
14,,36.0,1999.0,3.0,2,C0G650
16,,15.5,1999.0,3.0,3,C0G650
18,,0.0,1999.0,4.0,1,C0G650
20,,35.5,1999.0,4.0,2,C0G650
22,,6.0,1999.0,4.0,3,C0G650
24,,79.0,1999.0,5.0,1,C0G650
26,,20.0,1999.0,5.0,2,C0G650
28,,160.5,1999.0,5.0,3,C0G650
30,,11.5,1999.0,6.0,1,C0G650
32,,58.5,1999.0,6.0,2,C0G650
34,,38.0,1999.0,6.0,3,C0G650
36,,111.5,1999.0,7.0,1,C0G650
38,,109.0,1999.0,7.0,2,C0G650
40,,210.5,1999.0,7.0,3,C0G650
42,,298.0,1999.0,8.0,1,C0G650
44,,57.5,1999.0,8.0,2,C0G650
46,,20.0,1999.0,8.0,3,C0G650
48,,3.5,1999.0,9.0,1,C0G650
