,index,pp01,year,month,ten_days,stno
37,,0.0,1996.0,7.0,1,C1X090
39,,34.0,1996.0,7.0,2,C1X090
41,,287.5,1996.0,7.0,3,C1X090
43,,296.0,1996.0,8.0,1,C1X090
45,,34.0,1996.0,8.0,2,C1X090
47,,47.0,1996.0,8.0,3,C1X090
49,,1.0,1996.0,9.0,1,C1X090
51,,4.5,1996.0,9.0,2,C1X090
53,,0.0,1996.0,9.0,3,C1X090
55,,3.5,1996.0,10.0,1,C1X090
57,,16.5,1996.0,10.0,2,C1X090
59,,0.5,1996.0,10.0,3,C1X090
61,,29.5,1996.0,11.0,1,C1X090
63,,0.0,1996.0,11.0,2,C1X090
65,,0.0,1996.0,11.0,3,C1X090
67,,0.0,1996.0,12.0,1,C1X090
69,,0.0,1996.0,12.0,2,C1X090
71,,5.0,1996.0,12.0,3,C1X090
1,,7.0,1997.0,1.0,1,C1X090
3,,2.0,1997.0,1.0,2,C1X090
5,,35.0,1997.0,1.0,3,C1X090
7,,74.5,1997.0,2.0,1,C1X090
9,,0.5,1997.0,2.0,2,C1X090
11,,0.0,1997.0,2.0,3,C1X090
13,,0.0,1997.0,3.0,1,C1X090
15,,0.5,1997.0,3.0,2,C1X090
17,,136.0,1997.0,3.0,3,C1X090
19,,1.5,1997.0,4.0,1,C1X090
21,,15.5,1997.0,4.0,2,C1X090
23,,0.0,1997.0,4.0,3,C1X090
25,,3.0,1997.0,5.0,1,C1X090
27,,31.5,1997.0,5.0,2,C1X090
29,,35.5,1997.0,5.0,3,C1X090
31,,153.0,1997.0,6.0,1,C1X090
33,,209.0,1997.0,6.0,2,C1X090
35,,63.0,1997.0,6.0,3,C1X090
37,,275.0,1997.0,7.0,1,C1X090
39,,17.0,1997.0,7.0,2,C1X090
41,,0.0,1997.0,7.0,3,C1X090
43,,191.0,1997.0,8.0,1,C1X090
45,,164.5,1997.0,8.0,2,C1X090
47,,183.5,1997.0,8.0,3,C1X090
49,,234.0,1997.0,9.0,1,C1X090
51,,0.0,1997.0,9.0,2,C1X090
53,,1.0,1997.0,9.0,3,C1X090
55,,0.0,1997.0,10.0,1,C1X090
57,,0.0,1997.0,10.0,2,C1X090
59,,0.0,1997.0,10.0,3,C1X090
61,,0.0,1997.0,11.0,1,C1X090
63,,0.0,1997.0,11.0,2,C1X090
65,,0.0,1997.0,11.0,3,C1X090
67,,12.0,1997.0,12.0,1,C1X090
69,,0.0,1997.0,12.0,2,C1X090
71,,0.0,1997.0,12.0,3,C1X090
1,,0.0,1998.0,1.0,1,C1X090
3,,71.0,1998.0,1.0,2,C1X090
5,,0.5,1998.0,1.0,3,C1X090
7,,11.5,1998.0,2.0,1,C1X090
9,,64.0,1998.0,2.0,2,C1X090
11,,67.5,1998.0,2.0,3,C1X090
13,,79.5,1998.0,3.0,1,C1X090
15,,4.5,1998.0,3.0,2,C1X090
17,,0.0,1998.0,3.0,3,C1X090
19,,0.0,1998.0,4.0,1,C1X090
21,,66.0,1998.0,4.0,2,C1X090
23,,74.0,1998.0,4.0,3,C1X090
25,,22.0,1998.0,5.0,1,C1X090
27,,17.0,1998.0,5.0,2,C1X090
29,,34.5,1998.0,5.0,3,C1X090
31,,743.5,1998.0,6.0,1,C1X090
33,,67.5,1998.0,6.0,2,C1X090
35,,16.5,1998.0,6.0,3,C1X090
37,,186.0,1998.0,7.0,1,C1X090
39,,6.0,1998.0,7.0,2,C1X090
41,,24.0,1998.0,7.0,3,C1X090
43,,152.0,1998.0,8.0,1,C1X090
45,,14.0,1998.0,8.0,2,C1X090
47,,78.5,1998.0,8.0,3,C1X090
49,,97.0,1998.0,9.0,1,C1X090
51,,8.0,1998.0,9.0,2,C1X090
53,,2.0,1998.0,9.0,3,C1X090
55,,0.0,1998.0,10.0,1,C1X090
57,,54.5,1998.0,10.0,2,C1X090
59,,70.5,1998.0,10.0,3,C1X090
61,,0.0,1998.0,11.0,1,C1X090
63,,0.0,1998.0,11.0,2,C1X090
65,,0.0,1998.0,11.0,3,C1X090
67,,0.0,1998.0,12.0,1,C1X090
69,,12.5,1998.0,12.0,2,C1X090
71,,20.5,1998.0,12.0,3,C1X090
1,,0.0,1999.0,1.0,1,C1X090
3,,2.5,1999.0,1.0,2,C1X090
5,,0.5,1999.0,1.0,3,C1X090
7,,1.0,1999.0,2.0,1,C1X090
9,,0.0,1999.0,2.0,2,C1X090
11,,0.0,1999.0,2.0,3,C1X090
13,,0.0,1999.0,3.0,1,C1X090
15,,6.5,1999.0,3.0,2,C1X090
17,,1.0,1999.0,3.0,3,C1X090
19,,0.0,1999.0,4.0,1,C1X090
21,,42.5,1999.0,4.0,2,C1X090
23,,29.0,1999.0,4.0,3,C1X090
25,,80.5,1999.0,5.0,1,C1X090
27,,2.0,1999.0,5.0,2,C1X090
29,,45.0,1999.0,5.0,3,C1X090
31,,21.5,1999.0,6.0,1,C1X090
33,,32.5,1999.0,6.0,2,C1X090
35,,57.5,1999.0,6.0,3,C1X090
37,,286.0,1999.0,7.0,1,C1X090
39,,145.0,1999.0,7.0,2,C1X090
41,,13.5,1999.0,7.0,3,C1X090
43,,44.0,1999.0,8.0,1,C1X090
45,,36.0,1999.0,8.0,2,C1X090
47,,32.5,1999.0,8.0,3,C1X090
49,,11.0,1999.0,9.0,1,C1X090
51,,12.0,1999.0,9.0,2,C1X090
53,,6.0,1999.0,9.0,3,C1X090
55,,40.5,1999.0,10.0,1,C1X090
57,,0.5,1999.0,10.0,2,C1X090
59,,0.0,1999.0,10.0,3,C1X090
61,,0.0,1999.0,11.0,1,C1X090
63,,0.0,1999.0,11.0,2,C1X090
65,,9.5,1999.0,11.0,3,C1X090
67,,0.0,1999.0,12.0,1,C1X090
69,,19.0,1999.0,12.0,2,C1X090
71,,0.5,1999.0,12.0,3,C1X090
1,,0.0,2000.0,1.0,1,C1X090
3,,0.0,2000.0,1.0,2,C1X090
5,,1.5,2000.0,1.0,3,C1X090
7,,0.0,2000.0,2.0,1,C1X090
9,,8.5,2000.0,2.0,2,C1X090
11,,10.5,2000.0,2.0,3,C1X090
13,,1.0,2000.0,3.0,1,C1X090
15,,10.0,2000.0,3.0,2,C1X090
17,,0.0,2000.0,3.0,3,C1X090
19,,78.0,2000.0,4.0,1,C1X090
21,,3.0,2000.0,4.0,2,C1X090
23,,44.0,2000.0,4.0,3,C1X090
25,,2.0,2000.0,5.0,1,C1X090
27,,2.5,2000.0,5.0,2,C1X090
29,,14.5,2000.0,5.0,3,C1X090
31,,18.5,2000.0,6.0,1,C1X090
33,,161.0,2000.0,6.0,2,C1X090
35,,0.0,2000.0,6.0,3,C1X090
37,,92.0,2000.0,7.0,1,C1X090
39,,125.5,2000.0,7.0,2,C1X090
41,,276.0,2000.0,7.0,3,C1X090
43,,168.5,2000.0,8.0,1,C1X090
45,,127.0,2000.0,8.0,2,C1X090
47,,157.0,2000.0,8.0,3,C1X090
49,,34.5,2000.0,9.0,1,C1X090
51,,7.5,2000.0,9.0,2,C1X090
53,,0.0,2000.0,9.0,3,C1X090
55,,0.0,2000.0,10.0,1,C1X090
57,,0.0,2000.0,10.0,2,C1X090
59,,72.0,2000.0,10.0,3,C1X090
61,,8.0,2000.0,11.0,1,C1X090
63,,1.5,2000.0,11.0,2,C1X090
65,,0.0,2000.0,11.0,3,C1X090
67,,0.0,2000.0,12.0,1,C1X090
69,,13.5,2000.0,12.0,2,C1X090
71,,0.0,2000.0,12.0,3,C1X090
1,,1.0,2001.0,1.0,1,C1X090
3,,0.0,2001.0,1.0,2,C1X090
5,,21.5,2001.0,1.0,3,C1X090
7,,0.0,2001.0,2.0,1,C1X090
9,,0.0,2001.0,2.0,2,C1X090
11,,0.0,2001.0,2.0,3,C1X090
13,,0.0,2001.0,3.0,1,C1X090
15,,0.0,2001.0,3.0,2,C1X090
17,,34.5,2001.0,3.0,3,C1X090
19,,31.0,2001.0,4.0,1,C1X090
21,,7.0,2001.0,4.0,2,C1X090
23,,1.5,2001.0,4.0,3,C1X090
25,,69.5,2001.0,5.0,1,C1X090
27,,128.0,2001.0,5.0,2,C1X090
29,,233.0,2001.0,5.0,3,C1X090
31,,28.5,2001.0,6.0,1,C1X090
33,,261.0,2001.0,6.0,2,C1X090
35,,127.5,2001.0,6.0,3,C1X090
37,,1.5,2001.0,7.0,1,C1X090
39,,73.5,2001.0,7.0,2,C1X090
41,,53.0,2001.0,7.0,3,C1X090
43,,32.5,2001.0,8.0,1,C1X090
45,,18.0,2001.0,8.0,2,C1X090
47,,59.5,2001.0,8.0,3,C1X090
49,,73.5,2001.0,9.0,1,C1X090
51,,166.5,2001.0,9.0,2,C1X090
53,,38.0,2001.0,9.0,3,C1X090
55,,0.0,2001.0,10.0,1,C1X090
57,,0.0,2001.0,10.0,2,C1X090
59,,0.0,2001.0,10.0,3,C1X090
61,,0.0,2001.0,11.0,1,C1X090
63,,1.5,2001.0,11.0,2,C1X090
65,,0.0,2001.0,11.0,3,C1X090
67,,6.5,2001.0,12.0,1,C1X090
69,,0.0,2001.0,12.0,2,C1X090
71,,0.0,2001.0,12.0,3,C1X090
1,,0.0,2002.0,1.0,1,C1X090
3,,0.0,2002.0,1.0,2,C1X090
5,,23.0,2002.0,1.0,3,C1X090
7,,0.0,2002.0,2.0,1,C1X090
9,,0.0,2002.0,2.0,2,C1X090
11,,0.0,2002.0,2.0,3,C1X090
13,,0.0,2002.0,3.0,1,C1X090
15,,0.0,2002.0,3.0,2,C1X090
17,,2.0,2002.0,3.0,3,C1X090
19,,0.0,2002.0,4.0,1,C1X090
21,,0.0,2002.0,4.0,2,C1X090
23,,0.0,2002.0,4.0,3,C1X090
25,,0.5,2002.0,5.0,1,C1X090
27,,36.5,2002.0,5.0,2,C1X090
29,,124.0,2002.0,5.0,3,C1X090
31,,114.0,2002.0,6.0,1,C1X090
33,,22.5,2002.0,6.0,2,C1X090
35,,6.5,2002.0,6.0,3,C1X090
37,,84.5,2002.0,7.0,1,C1X090
39,,152.5,2002.0,7.0,2,C1X090
41,,69.0,2002.0,7.0,3,C1X090
43,,245.5,2002.0,8.0,1,C1X090
45,,31.0,2002.0,8.0,2,C1X090
47,,28.5,2002.0,8.0,3,C1X090
49,,8.5,2002.0,9.0,1,C1X090
51,,40.0,2002.0,9.0,2,C1X090
53,,1.5,2002.0,9.0,3,C1X090
55,,0.0,2002.0,10.0,1,C1X090
